;periodo;codtec;Velocidad descarga promedio
0;2018-T1;Cable;7.838425075999533
1;2018-T1;Fibra Óptica;13.419592996440082
2;2018-T1;Inalambrico;4.702175257905808
3;2018-T1;Otras;7.355557628247834
4;2018-T1;Satelital;2.5125015140440636
5;2018-T1;xDSL;4.610603877559666
6;2018-T2;Cable;9.259340057251219
7;2018-T2;Fibra Óptica;13.943633633741793
8;2018-T2;Inalambrico;5.032634380802686
9;2018-T2;Otras;3.834357068062827
10;2018-T2;Satelital;3.4691352957826207
11;2018-T2;xDSL;4.839467270122532
12;2018-T3;Cable;10.09865450242718
13;2018-T3;Fibra Óptica;15.021506696617678
14;2018-T3;Inalambrico;4.4619583683783315
15;2018-T3;Otras;7.053076271186441
16;2018-T3;Satelital;4.486676584953508
17;2018-T3;xDSL;4.830376377162351
18;2018-T4;Cable;10.841159282762073
19;2018-T4;Fibra Óptica;15.775851970836646
20;2018-T4;Inalambrico;4.498655984881394
21;2018-T4;Otras;11.509752347826087
22;2018-T4;Satelital;7.237130453657478
23;2018-T4;xDSL;4.8767178550203285
24;2019-T1;Cable;11.738625402480942
25;2019-T1;Fibra Óptica;17.282761637972197
26;2019-T1;Inalambrico;4.846651468644755
27;2019-T1;Otras;4.188004449388209
28;2019-T1;Satelital;10.302406538692264
29;2019-T1;xDSL;4.806307537200431
30;2019-T2;Cable;12.51555633987457
31;2019-T2;Fibra Óptica;20.092904956204123
32;2019-T2;Inalambrico;4.592536964834157
33;2019-T2;Otras;3.6576365232660226
34;2019-T2;Satelital;16.16756541059367
35;2019-T2;xDSL;4.920348274016096
36;2019-T3;Cable;13.24971870114569
37;2019-T3;Fibra Óptica;36.52887157428727
38;2019-T3;Inalambrico;4.523047581376131
39;2019-T3;Otras;4.73812132219397
40;2019-T3;Satelital;18.722728858017195
41;2019-T3;xDSL;5.036416166456803
42;2019-T4;Cable;18.8683156885757
43;2019-T4;Fibra Óptica;45.08793069347172
44;2019-T4;Inalambrico;4.898612133752124
45;2019-T4;Otras;4.070700908455625
46;2019-T4;Satelital;18.964059633689065
47;2019-T4;xDSL;5.030178518185161
48;2020-T1;Cable;24.917674000820117
49;2020-T1;Fibra Óptica;60.62642222744784
50;2020-T1;Inalambrico;5.103150601304355
51;2020-T1;Otras;4.876845033801351
52;2020-T1;Satelital;22.615658568559635
53;2020-T1;xDSL;5.111236754645914
54;2020-T2;Cable;28.951459645598284
55;2020-T2;Fibra Óptica;59.02985333338013
56;2020-T2;Inalambrico;5.721557023943419
57;2020-T2;Otras;4.228653199741435
58;2020-T2;Satelital;22.277178873333188
59;2020-T2;xDSL;5.218767052230581
60;2020-T3;Cable;33.33201437370518
61;2020-T3;Fibra Óptica;57.573986174734145
62;2020-T3;Inalambrico;6.144788429586969
63;2020-T3;Otras;6.125248669363423
64;2020-T3;Satelital;21.630470480954617
65;2020-T3;xDSL;5.331591995545232
66;2020-T4;Cable;36.64581604574362
67;2020-T4;Fibra Óptica;61.64074256086619
68;2020-T4;Inalambrico;7.341632558478789
69;2020-T4;Otras;6.077456165937448
70;2020-T4;Satelital;19.93137481989273
71;2020-T4;xDSL;5.432761703607835
72;2021-T1;Cable;43.729877738443264
73;2021-T1;Fibra Óptica;62.93019761888617
74;2021-T1;Inalambrico;9.005054107241408
75;2021-T1;Otras;7.201193181818183
76;2021-T1;Satelital;22.517373799892784
77;2021-T1;xDSL;5.963366184446236
78;2021-T2;Cable;63.192282088796624
79;2021-T2;Fibra Óptica;75.06297520920818
80;2021-T2;Inalambrico;9.684209729442758
81;2021-T2;Otras;13.081522111825445
82;2021-T2;Satelital;20.21214188721946
83;2021-T2;xDSL;6.067860669975616
84;2021-T3;Cable;73.34292880602858
85;2021-T3;Fibra Óptica;83.88270268962602
86;2021-T3;Inalambrico;10.595753217252412
87;2021-T3;Otras;11.414662895226286
88;2021-T3;Satelital;6.982261303398816
89;2021-T3;xDSL;6.28296924828324
90;2021-T4;Cable;81.6008817126467
91;2021-T4;Fibra Óptica;115.19883677886551
92;2021-T4;Inalambrico;12.421108204015004
93;2021-T4;Otras;7.720690472299395
94;2021-T4;Satelital;20.968058029845746
95;2021-T4;xDSL;6.246544594112618
